Comment,Designator,Footprint,LCSC
"KPEG006","BZ1","00_project_footprints:smd_conn2_hn",""
"100nF","C1,C2,C4,C7,C10,C12,C13","00_project_footprints:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"1uF","C3","00_project_footprints:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"100uF","C5,C6","00_project_footprints:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"22uF","C8,C9,C11,C14,C15","00_project_footprints:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"1N5819WS","D1","00_project_footprints:D_SOD-323_HandSoldering",""
"BLUE","D2","00_project_footprints:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"BV03C","D3","00_project_footprints:D_SOD-323_HandSoldering",""
"RED","D4","00_project_footprints:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"SMD0805-05","F1","00_project_footprints:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"mount_hole_hn","H1,H2","00_project_footprints:MountingHole_2.5mm",""
"conn_pgm","J1","00_project_footprints:pgm_conn_hn",""
"conn_bat","J2","00_project_footprints:smd_conn2_hn",""
"USB_C_6PIN","J3","00_project_footprints:usbc_6pin_hn",""
"GZ2012D601TF","L1,L2","00_project_footprints:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"AO3401A","Q1","00_project_footprints:SOT-23_Handsoldering",""
"2N7002","Q2","00_project_footprints:SOT-23_Handsoldering",""
"2K7","R1,R5","00_project_footprints:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"5K1","R11,R13","00_project_footprints:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"2K","R16","00_project_footprints:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"0","R17","00_project_footprints:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10K","R2,R3,R4,R7,R8,R9,R10,R12","00_project_footprints:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"2K2","R6,R14,R15","00_project_footprints:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RST","SW1","00_project_footprints:smd_btn4_hn",""
"PCC","SW2","00_project_footprints:smd_btn4_hn",""
"PWR","SW3","00_project_footprints:smd_btn4_hn",""
"CJMCU-117","U1","00_project_footprints:cjmcu_117_hn",""
"ESPC3-12F C3FN4","U2","00_project_footprints:espc3fn4_hn",""
"TLV75533PDBV","U3","00_project_footprints:SOT-23-5_HandSoldering",""
"74HC240PWR","U4","00_project_footprints:SSOP-20_4.4x6.5mm_P0.65mm",""
"MCP73831-2-OT","U5","00_project_footprints:SOT-23-5_HandSoldering",""